Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,Critic_Score,User_Score
Super Real Mahjong Graffiti,SAT,1995,Misc,Seta Corporation,0.0,0.0,0.07,0.0,0.07,,
Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,0.52,0.25,0.0,0.07,0.8400000000000001,49.0,4.4
"Warhammer 40,000: Dawn of War: Soulstorm",PC,2008,Strategy,THQ,0.0,0.02,0.0,0.0,0.02,,
Re-Volt,N64,1999,Racing,Acclaim Entertainment,0.14,0.04,0.0,0.0,0.18000000000000002,,
Pro Evolution Soccer 2012,3DS,2011,Action,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.02,,
Yggdra Union: We'll Never Fight Alone,GBA,2006,Role-Playing,Sting,0.0,0.0,0.03,0.0,0.03,,
Match 3 Madness,DS,2010,Puzzle,Foreign Media Games,0.0,0.05,0.0,0.01,0.060000000000000005,,
Minority Report: Everybody Runs,GBA,2002,Action,Activision,0.03,0.01,0.0,0.0,0.04,54.0,
Crazy Chicken: Star Karts,DS,2008,Racing,Phenomedia,0.03,0.0,0.0,0.0,0.03,,
Disney's Extreme Skate Adventure,XB,2003,Sports,Activision,0.08,0.02,0.0,0.0,0.1,76.0,8.3
Elvandia Story,PS2,2007,Role-Playing,Spike,0.0,0.0,0.02,0.0,0.02,,
Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,PS3,2011,Strategy,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,,
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.22,85.0,8.1
Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,Shooter,Ubisoft,0.21,0.11,0.0,0.01,0.33,66.0,6.0
Wallace & Gromit: Curse of the Were-Rabbit,PS2,2005,Adventure,Konami Digital Entertainment,0.06,0.05,0.0,0.02,0.13,,
Crime Crackers,PS,1994,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.09,0.01,0.09999999999999999,,
Kirby: Canvas Curse,DS,2005,Platform,Nintendo,0.37,0.0,0.32,0.04,0.73,,
G1 Jockey 3,PS2,2002,Sports,THQ,0.02,0.01,0.07,0.0,0.1,71.0,9.0
The Polar Express,GC,2004,Adventure,THQ,0.08,0.02,0.0,0.0,0.1,40.0,4.7
Motocross Mania 3,XB,2005,Racing,Take-Two Interactive,0.01,0.0,0.0,0.0,0.01,38.0,3.6
CSI: Hard Evidence,X360,2007,Adventure,Ubisoft,0.07,0.02,0.0,0.01,0.1,,
Juusanshi Engi Engetsu Sangokuden 2,PSP,2014,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02,,
Puppet Show 3: Lost Town,PC,2011,Puzzle,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02,,
Tropico 5,PC,2014,Simulation,Kalypso Media,0.02,0.08,0.0,0.01,0.11,,
Worms World Party,GBA,2002,Strategy,Ubisoft,0.04,0.01,0.0,0.0,0.05,75.0,
The Dukes of Hazzard: Return of the General Lee,PS2,2004,Racing,Ubisoft,0.11,0.08,0.0,0.03,0.22,52.0,6.8
Summer Athletics,PC,2008,Sports,DTP Entertainment,0.0,0.01,0.0,0.0,0.01,,
Minna de Dokusho: Keatai Shousetsu Desu,PSP,2008,Misc,Dorart,0.0,0.0,0.02,0.0,0.02,,
Sonic Colors,Wii,2010,Platform,Sega,0.96,0.61,0.01,0.16,1.7399999999999998,,
Mario Party 9,Wii,2012,Misc,Nintendo,1.15,1.17,0.76,0.24,3.3200000000000003,,
Inazuma Eleven 3,DS,2010,Role-Playing,Level 5,0.0,0.0,0.93,0.0,0.93,,
Digger Simulator,PC,2011,Simulation,Excalibur Publishing,0.0,0.01,0.0,0.0,0.01,,
Bee Movie Game,PS2,2007,Action,Activision,0.05,0.04,0.0,0.01,0.09999999999999999,65.0,7.5
Point Blank,PS,1997,Shooter,Sony Computer Entertainment,0.05,0.03,0.23,0.02,0.33,,
Burnout Paradise: The Ultimate Box,X360,2009,Racing,Electronic Arts,0.0,0.03,0.0,0.0,0.03,,
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.9799999999999995,,
Zoo Tycoon: Complete Collection,PC,2003,Strategy,Microsoft Game Studios,0.03,0.02,0.0,0.01,0.060000000000000005,,8.0
Forever Kingdom,PS2,2001,Role-Playing,From Software,0.02,0.02,0.04,0.01,0.09,64.0,7.8
Let's Play Ballerina,Wii,2010,Sports,Deep Silver,0.02,0.0,0.0,0.0,0.02,,
Championship Manager 99/00,PC,1999,Sports,Eidos Interactive,0.0,0.98,0.0,0.09,1.07,,
Spore Galactic Adventures,PC,2009,Strategy,Electronic Arts,0.0,0.01,0.0,0.0,0.01,,
New Interpretation Stranger of Sword City,PSV,2016,Role-Playing,Experience Inc.,0.0,0.0,0.01,0.0,0.01,,
Shrek: Forever After,DS,2010,Platform,Activision,0.19,0.1,0.0,0.03,0.32000000000000006,,
Dreamer Series: Puppy Trainer,DS,2008,Simulation,DreamCatcher Interactive,0.05,0.0,0.0,0.0,0.05,,
Inazuma Eleven Strikers 2012 Xtreme,Wii,2011,Role-Playing,Level 5,0.0,0.0,0.19,0.0,0.19,,
Castlevania: Lords of Shadow,PS3,2010,Action,Konami Digital Entertainment,0.5,0.37,0.1,0.16,1.13,,
Winning Post 8 2015,PS3,2015,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,,
NCAA Football 11,PS3,2010,Sports,Electronic Arts,0.79,0.0,0.0,0.06,0.8500000000000001,85.0,7.4
Mobile Suit Gundam Side Story I: Senritsu no Blue,SAT,1996,Shooter,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,,
Doukyuusei 2,SAT,1997,Role-Playing,NEC Interchannel,0.0,0.0,0.13,0.0,0.13,,
HOP,DS,2011,Platform,505 Games,0.09,0.01,0.0,0.01,0.10999999999999999,,
Hitman: Blood Money,PS2,2006,Action,Eidos Interactive,0.25,0.19,0.0,0.06,0.5,83.0,8.4
Wizardry XTH: Unlimited Students,PS2,2006,Role-Playing,Michaelsoft,0.0,0.0,0.01,0.0,0.01,,
Jam Sessions 2,DS,2009,Misc,Ubisoft,0.06,0.0,0.0,0.0,0.06,66.0,
Kousoku Card Battle: Card Hero,DS,2007,Strategy,Nintendo,0.0,0.0,0.11,0.0,0.11,,
Defender,GC,2002,Misc,Midway Games,0.08,0.02,0.0,0.0,0.1,66.0,
The King of Fighters '95,NG,1995,Fighting,SNK,0.0,0.0,0.2,0.0,0.2,,
F1 Career Challenge,PS2,2003,Racing,Electronic Arts,0.05,0.04,0.0,0.01,0.09999999999999999,70.0,7.7
Dementium II,DS,2010,Shooter,SouthPeak Games,0.09,0.02,0.0,0.01,0.12,,
X-Men Origins: Wolverine - Uncaged Edition,PC,2009,Action,Activision,0.02,0.0,0.0,0.0,0.02,,
Gakken DS: Shin TOEIC Test Kanzen Kouryaku,DS,2007,Misc,Gakken,0.0,0.0,0.02,0.0,0.02,,
Battlefield: Bad Company 2,PC,2010,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.72,87.0,8.3
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,PS4,2015,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,
Driven,GC,2002,Racing,BAM! Entertainment,0.06,0.02,0.0,0.0,0.08,55.0,
Balls of Fury,DS,2007,Sports,Zoo Digital Publishing,0.02,0.0,0.0,0.0,0.02,62.0,
The Bombing Islands,PS,1997,Platform,Kemco,0.08,0.05,0.0,0.01,0.14,,
Tomb Raider III: Adventures of Lara Croft,PC,1998,Action,Eidos Interactive,0.59,0.03,0.0,0.0,0.62,,8.2
Eat Lead: The Return of Matt Hazard,PS3,2009,Shooter,D3Publisher,0.09,0.02,0.0,0.01,0.12,51.0,6.5
Backyard Soccer,PS,2001,Sports,Infogrames,0.07,0.05,0.0,0.01,0.13,,
Motto NUGA-CEL!,PSP,2010,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02,,
Mighty No. 9,PS4,2016,Platform,Deep Silver,0.04,0.0,0.0,0.01,0.05,52.0,3.5
LEGO Ninjago: Shadow of Ronin,3DS,2015,Action,Warner Bros. Interactive Entertainment,0.05,0.1,0.04,0.01,0.20000000000000004,,
Scene It? Lights Camera Action,X360,2007,Misc,Microsoft Game Studios,0.43,0.02,0.0,0.04,0.49,,
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007,Racing,Midway Games,0.03,0.03,0.0,0.01,0.06999999999999999,37.0,5.9
Disney Universe,PS3,2011,Action,Disney Interactive Studios,0.3,0.23,0.0,0.09,0.62,,
Harukanaru Augusta 2: Masters,SNES,1993,Sports,T&E Soft,0.0,0.0,0.12,0.0,0.12,,
Desktop Tower Defense,DS,2009,Strategy,THQ,0.11,0.0,0.0,0.01,0.12,,
Jumping Flash! 2,PS,1996,Platform,Sony Computer Entertainment,0.05,0.03,0.15,0.02,0.24999999999999997,,
Goldeneye 007: Reloaded,X360,2011,Shooter,Activision,0.25,0.21,0.0,0.05,0.51,,
Need for Speed (2015),PS4,2015,Racing,Electronic Arts,0.49,1.49,0.05,0.36,2.3899999999999997,,
Lucian Bee's: Resurrection Supernova,PS2,2009,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,,
Dead to Rights,XB,2002,Shooter,Electronic Arts,0.53,0.17,0.0,0.03,0.7300000000000001,73.0,8.9
MX vs. ATV: Alive,PS3,2011,Racing,THQ,0.24,0.15,0.0,0.07,0.46,61.0,6.7
Super Heroine Chronicle,PS3,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,
Fantastic Four: Rise of the Silver Surfer,X360,2007,Action,Take-Two Interactive,0.1,0.01,0.0,0.01,0.12,45.0,5.4
Assassin's Creed II,X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.25,,
Pinball Tycoon,GBA,2002,Misc,Ignition Entertainment,0.03,0.01,0.0,0.0,0.04,,
Paws & Claws: Pet Resort,Wii,2009,Simulation,THQ,0.1,0.0,0.0,0.01,0.11,,
Crazy Taxi,PS2,2001,Racing,Acclaim Entertainment,1.13,1.12,0.06,0.22,2.5300000000000002,80.0,7.9
X-Men Origins: Wolverine - Uncaged Edition,X360,2009,Action,Activision,0.42,0.21,0.0,0.06,0.69,,
Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,DS,2010,Simulation,Electronic Arts,0.5,0.0,0.0,0.03,0.53,,
Open Season,PS2,2006,Platform,Ubisoft,0.01,0.01,0.0,0.0,0.02,57.0,
Monster Hunter G,PS2,2005,Role-Playing,Capcom,0.0,0.0,0.23,0.0,0.23,,
Xblaze: Lost Memories,PS3,2015,Adventure,Arc System Works,0.01,0.0,0.0,0.0,0.01,,
Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.29,0.0,0.12,0.87,,
FIFA Soccer 2002,PS2,2001,Sports,Electronic Arts,0.31,0.24,0.0,0.08,0.63,82.0,5.8
Backyard NBA Basketball,PS2,2003,Sports,Atari,0.29,0.22,0.0,0.07,0.5800000000000001,,
ESPN NFL Primetime 2002,XB,2002,Sports,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.01,57.0,
Medarot: Kabuto / Kuwagata Version,GB,1997,Role-Playing,Imagineer,0.0,0.0,0.4,0.0,0.4,,
Dream Club Zero Portable,PSV,2011,Simulation,D3Publisher,0.0,0.0,0.03,0.0,0.03,,
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,PS2,2009,Misc,D3Publisher,0.0,0.0,0.06,0.0,0.06,,
Hot Wheels Turbo Racing,N64,1999,Racing,Electronic Arts,0.25,0.06,0.0,0.0,0.31,,
NFL Blitz 20-03,GC,2002,Sports,Midway Games,0.11,0.03,0.0,0.0,0.14,72.0,
Gretzky NHL 2005,PS2,2004,Sports,Sony Computer Entertainment,0.08,0.07,0.0,0.02,0.17,66.0,9.1
R.U.S.E.,X360,2010,Strategy,Ubisoft,0.12,0.12,0.0,0.03,0.27,,
Pro Evolution Soccer 2010,Wii,2009,Sports,Konami Digital Entertainment,0.12,0.27,0.06,0.05,0.5,82.0,8.4
Just Dance 2016,Wii,2015,Misc,Ubisoft,0.52,0.59,0.0,0.1,1.21,,
Dragon Ball Z: Shin Butouden,SAT,1995,Fighting,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09,,
Puzzle Kingdoms,DS,2009,Puzzle,Zoo Digital Publishing,0.12,0.0,0.0,0.01,0.13,64.0,6.3
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006,Misc,Nintendo,0.0,0.0,1.71,0.0,1.71,,
Virtua Tennis 4,PC,2011,Sports,Sega,0.0,0.03,0.0,0.01,0.04,66.0,7.3
Sega Ages 2500 Series Vol. 26: Dynamite Deka,PS2,2006,Action,Sega,0.0,0.0,0.02,0.0,0.02,,
Brothers in Arms: Double Time,Wii,2008,Shooter,Ubisoft,0.11,0.0,0.0,0.01,0.12,45.0,6.6
2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.14,0.28,0.0,0.04,0.46,,
L.A. Rush,XB,2005,Racing,Midway Games,0.11,0.03,0.0,0.01,0.15000000000000002,59.0,3.0
Epidemic,PS,1995,Shooter,Sony Computer Entertainment,0.02,0.01,0.1,0.01,0.14,,
Rayman Raving Rabbids,PC,2006,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.01,58.0,7.6
Top Gun: Fire at Will!,PS,1996,Misc,Microprose,0.3,0.21,0.0,0.04,0.55,,
Hyakki Yagyou Kaidan Romance,PSP,2012,Action,Quinrose,0.0,0.0,0.01,0.0,0.01,,
Kenka Banchou 4: Ichinen Sensou,PSP,2010,Action,Spike,0.0,0.0,0.19,0.0,0.19,,
BlowOut,XB,2003,Shooter,Zoo Digital Publishing,0.04,0.01,0.0,0.0,0.05,55.0,
Project CARS,XOne,2015,Racing,Slightly Mad Studios,0.08,0.13,0.0,0.02,0.23,,
XGRA: Extreme G Racing Association,GC,2003,Racing,Acclaim Entertainment,0.02,0.0,0.0,0.0,0.02,69.0,7.0
Generator Rex: Agent of Providence,3DS,2011,Action,Activision,0.07,0.02,0.0,0.01,0.1,,
Destruction Derby Arenas,PS2,2004,Racing,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,57.0,7.8
Steambot Chronicles: Battle Tournament,PSP,2008,Fighting,Irem Software Engineering,0.05,0.0,0.01,0.0,0.060000000000000005,,
Green Lantern: Rise of the Manhunters,X360,2011,Action,Warner Bros. Interactive Entertainment,0.07,0.05,0.0,0.01,0.13,,
Mushroom Men: Rise of the Fungi,DS,2008,Action,SouthPeak Games,0.1,0.0,0.0,0.01,0.11,45.0,7.3
Downhill Domination,PS2,2003,Racing,Codemasters,0.23,0.18,0.0,0.06,0.47000000000000003,79.0,8.9
World Stadium 4,PS,2000,Sports,Namco Bandai Games,0.0,0.0,0.15,0.01,0.16,,
Rabbids Party Collection,Wii,2010,Misc,Ubisoft,0.0,0.16,0.0,0.02,0.18,,
Sengoku Otome: Legend Battle,PSV,2016,Action,Unknown,0.0,0.0,0.02,0.0,0.02,,
Bratz: Forever Diamondz,DS,2006,Adventure,THQ,0.43,0.88,0.0,0.18,1.49,,6.5
WipEout Pulse,PS2,2009,Racing,Sony Computer Entertainment,0.0,0.15,0.0,0.33,0.48,,
Obscure,PS2,2004,Adventure,Microids,0.03,0.03,0.0,0.01,0.06999999999999999,65.0,8.9
Tennis no Oji-Sama: Card Hunter,PS2,2007,Strategy,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,,
Red Dead Revolver,XB,2004,Shooter,Take-Two Interactive,0.4,0.12,0.0,0.02,0.54,74.0,8.5
Tomb Raider: Anniversary,Wii,2007,Action,Eidos Interactive,0.12,0.63,0.0,0.11,0.86,,
Need for Speed Underground 2,GC,2004,Racing,Electronic Arts,0.7,0.39,0.01,0.03,1.13,,
Junjou Romanchika: Koi no Doki Doki Daisakusen,PS2,2008,Adventure,Marvelous Interactive,0.0,0.0,0.01,0.0,0.01,,
Crash Tag Team Racing,PS2,2005,Racing,Vivendi Games,0.27,0.21,0.0,0.07,0.55,66.0,7.0
Trollz: Hair Affair!,GBA,2005,Misc,Ubisoft,0.03,0.01,0.0,0.0,0.04,,
Shining Force III: Scenario 2,SAT,1998,Strategy,Sega,0.0,0.0,0.05,0.0,0.05,,
XGRA: Extreme G Racing Association,XB,2003,Racing,Acclaim Entertainment,0.02,0.0,0.0,0.0,0.02,66.0,6.8
Super Robot Wars OG: The Moon Dwellers,PS3,2016,Misc,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,,
Period Cube: Torikago no Amadeus,PSV,2016,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01,,
Vexx,GC,2003,Platform,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.060000000000000005,71.0,7.3
UNO 52,DS,2006,Misc,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.01,,
Mega Man Anniversary Collection,GC,2004,Platform,Capcom,0.32,0.08,0.0,0.01,0.41000000000000003,81.0,8.8
God of War Saga,PS3,2012,Action,Sony Computer Entertainment,0.72,0.0,0.0,0.06,0.78,,
Enkaku Sousa: Sana e no 23 Hiai,PSP,2009,Adventure,Sony Computer Entertainment,0.0,0.0,0.02,0.0,0.02,,
Championship Manager 03/04,PC,2003,Sports,Eidos Interactive,0.0,1.15,0.0,0.11,1.26,,
Enemy Front,X360,2014,Shooter,Namco Bandai Games,0.02,0.03,0.0,0.0,0.05,,
Medarot DS: Kabuto / Kuwagata Ver.,DS,2010,Role-Playing,Rocket Company,0.0,0.0,0.12,0.0,0.12,,
The Incredible Hulk: The Pantheon Saga,PS,1996,Action,Eidos Interactive,0.09,0.06,0.0,0.01,0.16,,
Babysitting Mania,DS,2008,Simulation,Majesco Entertainment,0.24,0.0,0.0,0.02,0.26,,
Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf,GBA,2005,Action,Konami Digital Entertainment,0.04,0.02,0.0,0.0,0.06,,
Yuusha Shisu.,PSV,2016,Role-Playing,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02,,
Final Fantasy XI: Wings of the Goddess,X360,2007,Role-Playing,Square Enix,0.25,0.0,0.02,0.02,0.29000000000000004,,
Star Wars The Clone Wars: Republic Heroes,DS,2009,Action,LucasArts,0.23,0.14,0.0,0.04,0.41,,
Galileo,DS,2008,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,,
Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,2011,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,,
Shin Hayarigami 2,PSV,2016,Adventure,Nippon Ichi Software,0.0,0.0,0.01,0.0,0.01,,
Fatal Fury: Battle Archives Volume 1,PS2,2006,Fighting,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03,68.0,8.3
Up,DS,2009,Action,THQ,0.31,0.28,0.0,0.07,0.6600000000000001,,
Friend Collection,DS,2009,Misc,Nintendo,0.0,0.0,3.67,0.0,3.67,,
Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,0.05,0.0,0.64,2.93,3.62,82.0,7.9
Reloaded,PS,1996,Action,Gremlin Interactive Ltd,0.09,0.06,0.0,0.01,0.16,,
Famista '91,NES,1990,Sports,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,,
Roadsters 99,N64,1999,Racing,Titus,0.06,0.13,0.0,0.01,0.2,,
Arc the Lad III,PS,1999,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.39,0.03,0.42000000000000004,,
G.I. Joe: The Rise of Cobra,PS3,2009,Action,Electronic Arts,0.11,0.07,0.0,0.03,0.21,43.0,4.8
My Japanese Coach,DS,2008,Misc,Ubisoft,0.25,0.0,0.0,0.02,0.27,,
Final Fantasy Chronicles,PS,2001,Role-Playing,Square,0.29,0.2,0.0,0.03,0.52,89.0,9.1
Digimon World: Next Order,PSV,2016,Action,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09,,
Tekken 3D: Prime Edition,3DS,2012,Fighting,Nintendo,0.06,0.08,0.05,0.01,0.2,,
Emergency Heroes,Wii,2008,Racing,Ubisoft,0.15,0.27,0.0,0.06,0.48000000000000004,,
Monster Hunter Frontier Online: Season 10,X360,2011,Role-Playing,Capcom,0.0,0.0,0.03,0.0,0.03,,
Heroes of the Pacific,PC,2005,Simulation,Codemasters,0.0,0.02,0.0,0.0,0.02,76.0,6.7
Bionic Commando,X360,2009,Platform,Capcom,0.12,0.12,0.01,0.03,0.28,70.0,7.3
Capcom vs. SNK 2: Millionaire Fighting 2001,DC,2001,Fighting,Capcom,0.0,0.0,0.12,0.0,0.12,,
The Legend of Spyro: Dawn of the Dragon,X360,2008,Platform,Vivendi Games,0.16,0.13,0.0,0.03,0.32000000000000006,,
Beyblade G-Revolution,GBA,2004,Action,Atari,0.15,0.05,0.0,0.0,0.2,40.0,7.8
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.26,0.24,0.0,0.1,0.6,,
"Iza, Shutsujin! Koisen",PSP,2011,Adventure,Quinrose,0.0,0.0,0.01,0.0,0.01,,
Cocoto Kart Racer,DS,2004,Racing,Big Ben Interactive,0.04,0.0,0.0,0.0,0.04,,
MX vs. ATV Unleashed,PS2,2005,Racing,THQ,0.86,0.03,0.0,0.14,1.03,79.0,8.4
Keroro RPG: Kishi to Musha to Densetsu no Kaizoku,DS,2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,,
Woody Woodpecker Racing,PS,1999,Racing,Konami Digital Entertainment,0.06,0.04,0.0,0.01,0.11,46.0,
Bentley's Hackpack,GBA,2005,Misc,2008.0,0.67,0.25,0.0,0.02,0.9400000000000001,,
Winter Blast: 9 Snow & Ice Games,Wii,2010,Sports,Destineer,0.02,0.0,0.0,0.0,0.02,,
Tiger Woods PGA Tour 2004,GBA,2003,Sports,Electronic Arts,0.13,0.05,0.0,0.0,0.18,75.0,7.5
Wing Commander IV: The Price of Freedom,PS,1997,Simulation,Origin Systems,0.05,0.03,0.0,0.01,0.09,,
Growlanser VI: Precarious World,PS2,2007,Role-Playing,Atlus,0.0,0.0,0.05,0.0,0.05,,
Vin Diesel: Wheelman,X360,2009,Racing,Ubisoft,0.24,0.17,0.0,0.05,0.46,,
Iron Man 2,Wii,2010,Action,Sega,0.15,0.15,0.0,0.03,0.32999999999999996,41.0,4.6
S.Y.K: Shinsetsu Saiyuuki Portable,PSP,2010,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01,,
Peter Jackson's King Kong: The Official Game of the Movie,GC,2005,Action,Ubisoft,0.19,0.05,0.0,0.01,0.25,81.0,8.3
God Eater 2,PSV,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.45,0.0,0.45,,
Uprising X,PS,1998,Action,3DO,0.04,0.03,0.0,0.0,0.07,,
Rocky: Legends,PS2,2004,Action,Ubisoft,0.13,0.1,0.0,0.03,0.26,65.0,8.6
Bee Movie Game,X360,2007,Action,Activision,0.16,0.0,0.0,0.01,0.17,71.0,5.8
Harry Potter and the Deathly Hallows - Part 2,PC,2011,Action,Electronic Arts,0.05,0.04,0.0,0.01,0.09999999999999999,43.0,5.0
Let's Play Ballerina,DS,2010,Sports,Deep Silver,0.13,0.0,0.0,0.01,0.14,,
Luxor 3,Wii,2008,Puzzle,Mumbo Jumbo,0.16,0.0,0.0,0.01,0.17,,
Final Fantasy IV,DS,2007,Simulation,Square Enix,0.54,0.05,0.62,0.05,1.26,,
Air Conflicts: Secret Wars,X360,2011,Simulation,bitComposer Games,0.06,0.02,0.0,0.01,0.09,61.0,
Shadowgate 64: Trials of the Four Towers,N64,1999,Adventure,Kemco,0.06,0.01,0.0,0.0,0.06999999999999999,,
DS Nishimura Kyotaro Suspense 2 Shin Tantei Series: Kanazawa Hakodate - Gokkan no Kyoukoku - Fukushuu no Kage,DS,2008,Adventure,Tecmo Koei,0.0,0.0,0.07,0.0,0.07,,
The Fairly Odd Parents: Breakin Da Rules,XB,2003,Platform,THQ,0.08,0.02,0.0,0.0,0.1,,
Samurai & Dragons,PSV,2012,Action,Sega,0.0,0.0,0.02,0.0,0.02,,
Truck Racer,Wii,2009,Racing,Nordic Games,0.0,0.01,0.0,0.0,0.01,,
Micro Machines V3,PS,1997,Racing,Codemasters,0.06,0.04,0.0,0.01,0.11,,
Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.18,0.0,0.05,0.5900000000000001,,
Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo,0.77,0.07,0.43,0.08,1.35,,
Fight Night Round 4,PS3,2009,Fighting,Electronic Arts,0.92,0.41,0.0,0.21,1.54,,
FIFA Soccer 06,GBA,2005,Sports,Electronic Arts,0.05,0.02,0.0,0.0,0.07,,
Little Battlers eXperience: Wars,3DS,2013,Strategy,Level 5,0.0,0.0,0.13,0.0,0.13,,
G-Force,PSP,2009,Action,Electronic Arts,0.24,0.07,0.0,0.05,0.36,,
Art of Fighting 3: The Path of the Warrior,NG,1996,Fighting,SNK,0.0,0.0,0.04,0.0,0.04,,
Rage,PC,2011,Shooter,Bethesda Softworks,0.14,0.18,0.0,0.06,0.38,79.0,5.2
Hannah Montana,DS,2006,Action,Disney Interactive Studios,1.59,0.8,0.0,0.26,2.6500000000000004,,6.7
From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,Namco Bandai Games,0.0,0.0,0.56,0.04,0.6000000000000001,,
NBA Live 06,GC,2005,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.33,76.0,
Penguins of Madagascar,WiiU,2014,Action,Namco Bandai Games,0.01,0.02,0.0,0.0,0.03,,5.2
Hanaoni: Yume no Tsudzuki,PSP,2012,Action,Idea Factory,0.0,0.0,0.04,0.0,0.04,,
Burstrick: Wake Boarding!!,PS,2000,Sports,Natsume,0.15,0.1,0.0,0.02,0.27,,
Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD,PS3,2013,Simulation,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,
Olympic Summer Games: Atlanta 1996,PS,1996,Sports,U.S. Gold,0.06,0.04,0.0,0.01,0.11,,
Showtime Championship Boxing,Wii,2007,Fighting,Zoo Digital Publishing,0.06,0.0,0.0,0.01,0.06999999999999999,,
FabStyle,DS,2011,Strategy,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,,
Uncharted: Golden Abyss,PSV,2011,Shooter,Sony Computer Entertainment,0.59,0.75,0.13,0.27,1.7399999999999998,,
Shinseiki Evangelion- Eva: Yukai na Nakama Tachi,PS,1998,Misc,Gainax Network Systems,0.0,0.0,0.05,0.0,0.05,,
Cradle of Rome,DS,2008,Puzzle,Rising Star Games,0.06,0.16,0.0,0.03,0.25,,
7 Wonders II,DS,2009,Puzzle,Rondomedia,0.14,0.15,0.0,0.03,0.32000000000000006,,
I Don't Have Many Friends Portable,PSP,2012,Adventure,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,,
Reload: Target Down,Wii,2010,Shooter,Mastiff,0.25,0.0,0.0,0.02,0.27,,
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PSP,2009,Strategy,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,,
WWE '12,X360,2011,Fighting,THQ,0.74,0.4,0.0,0.12,1.2600000000000002,71.0,6.3
All-Star Baseball 2003,XB,2002,Sports,Acclaim Entertainment,0.19,0.06,0.0,0.01,0.26,79.0,8.1
